Node,Code,Phases,NVolt_kV,DemP_kW,DemQ_kVAr,Subest,Feeder,Pinst_kW,Qinst_kVAr,Yearly_kWh,NumCust,
1_27  ,1_27  ,3 ,12.47 ,4746.85 ,2299.00 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> 8_10 ,4746.85 ,2299.00 ,0.00 ,1 ,
2_0   ,2_0   ,3 ,0.42  ,226.56  ,109.73  ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> DT0  ,226.56  ,109.73  ,0.00 ,1 ,
3_14  ,3_14  ,3 ,12.47 ,1287.34 ,623.49  ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> 8_10 ,1287.34 ,623.49  ,0.00 ,1 ,
4_3   ,4_3   ,3 ,0.42  ,336.07  ,162.77  ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> 8_10 ,336.07  ,162.77  ,0.00 ,1 ,
5_0   ,5_0   ,3 ,0.42  ,84.95   ,41.14   ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> 8_10 ,84.95   ,41.14   ,0.00 ,1 ,
6_8   ,6_8   ,3 ,0.42  ,107.50  ,52.06   ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> 8_10 ,107.50  ,52.06   ,0.00 ,1 ,
7_7   ,7_7   ,3 ,12.47 ,1010.49 ,489.40  ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> DT0  ,1010.49 ,489.40  ,0.00 ,1 ,
8_10  ,8_10  ,3 ,12.47 ,2184.72 ,1058.11 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> 8_10 ,2184.72 ,1058.11 ,0.00 ,1 ,
9_13  ,9_13  ,3 ,12.47 ,1369.29 ,663.18  ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> DT0  ,1369.29 ,663.18  ,0.00 ,1 ,
10_28 ,10_28 ,3 ,12.47 ,5980.92 ,2896.69 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> DT0  ,5980.92 ,2896.69 ,0.00 ,1 ,
11_0  ,11_0  ,3 ,0.42  ,345.67  ,167.41  ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> 8_10 ,345.67  ,167.41  ,0.00 ,1 ,
12_20 ,12_20 ,3 ,12.47 ,1362.41 ,659.85  ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> DT0  ,1362.41 ,659.85  ,0.00 ,1 ,
13_4  ,13_4  ,3 ,12.47 ,1140.47 ,552.35  ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 ,sub_5840ecc6-7f2b-400c-a683-528d02f140f6_12.47 -> DT0  ,1140.47 ,552.35  ,0.00 ,1 ,
